k,cum_energy
320.000000,0.997546
321.000000,0.997595
322.000000,0.997644
323.000000,0.997692
324.000000,0.997739
325.000000,0.997787
326.000000,0.997834
327.000000,0.997880
328.000000,0.997926
329.000000,0.997971
330.000000,0.998016
331.000000,0.998060
332.000000,0.998104
333.000000,0.998147
334.000000,0.998191
335.000000,0.998233
336.000000,0.998274
337.000000,0.998316
338.000000,0.998357
339.000000,0.998398
340.000000,0.998437
341.000000,0.998476
342.000000,0.998516
343.000000,0.998554
344.000000,0.998592
345.000000,0.998629
346.000000,0.998666
347.000000,0.998703
348.000000,0.998739
349.000000,0.998775
350.000000,0.998811
351.000000,0.998846
352.000000,0.998880
353.000000,0.998914
354.000000,0.998947
355.000000,0.998980
356.000000,0.999012
357.000000,0.999044
358.000000,0.999076
359.000000,0.999108
360.000000,0.999139
361.000000,0.999170
362.000000,0.999200
363.000000,0.999229
364.000000,0.999258
365.000000,0.999287
366.000000,0.999315
367.000000,0.999343
368.000000,0.999371
369.000000,0.999398
370.000000,0.999424
371.000000,0.999450
372.000000,0.999476
373.000000,0.999501
374.000000,0.999526
375.000000,0.999551
376.000000,0.999575
377.000000,0.999599
378.000000,0.999622
379.000000,0.999645
380.000000,0.999668
381.000000,0.999691
382.000000,0.999712
383.000000,0.999733
384.000000,0.999754
385.000000,0.999775
386.000000,0.999795
387.000000,0.999815
388.000000,0.999834
389.000000,0.999852
390.000000,0.999869
391.000000,0.999887
392.000000,0.999903
393.000000,0.999919
394.000000,0.999934
395.000000,0.999948
396.000000,0.999962
397.000000,0.999975
398.000000,0.999989
399.000000,1.000000
400.000000,1.000000
