k,cum_energy
245.000000,0.986898
246.000000,0.987047
247.000000,0.987194
248.000000,0.987340
249.000000,0.987485
250.000000,0.987630
251.000000,0.987773
252.000000,0.987914
253.000000,0.988054
254.000000,0.988194
255.000000,0.988333
256.000000,0.988470
257.000000,0.988606
258.000000,0.988740
259.000000,0.988873
260.000000,0.989005
261.000000,0.989135
262.000000,0.989263
263.000000,0.989391
264.000000,0.989518
265.000000,0.989644
266.000000,0.989769
267.000000,0.989892
268.000000,0.990013
269.000000,0.990134
270.000000,0.990255
271.000000,0.990374
272.000000,0.990492
273.000000,0.990609
274.000000,0.990725
275.000000,0.990840
276.000000,0.990954
277.000000,0.991068
278.000000,0.991181
279.000000,0.991293
280.000000,0.991403
281.000000,0.991512
282.000000,0.991620
283.000000,0.991728
284.000000,0.991834
285.000000,0.991939
286.000000,0.992043
287.000000,0.992146
288.000000,0.992249
289.000000,0.992350
290.000000,0.992452
291.000000,0.992552
292.000000,0.992652
293.000000,0.992752
294.000000,0.992850
295.000000,0.992948
296.000000,0.993044
297.000000,0.993140
298.000000,0.993235
299.000000,0.993328
300.000000,0.993420
301.000000,0.993512
302.000000,0.993603
303.000000,0.993694
304.000000,0.993783
305.000000,0.993872
306.000000,0.993959
307.000000,0.994046
308.000000,0.994133
309.000000,0.994218
310.000000,0.994302
311.000000,0.994386
312.000000,0.994468
313.000000,0.994550
314.000000,0.994631
315.000000,0.994712
316.000000,0.994791
317.000000,0.994870
318.000000,0.994948
319.000000,0.995026
320.000000,0.995102
321.000000,0.995178
322.000000,0.995253
323.000000,0.995326
324.000000,0.995400
325.000000,0.995472
326.000000,0.995544
327.000000,0.995614
328.000000,0.995683
329.000000,0.995751
330.000000,0.995819
331.000000,0.995885
332.000000,0.995951
333.000000,0.996015
334.000000,0.996079
335.000000,0.996143
336.000000,0.996206
337.000000,0.996269
338.000000,0.996331
339.000000,0.996391
340.000000,0.996452
341.000000,0.996512
342.000000,0.996571
343.000000,0.996630
344.000000,0.996687
345.000000,0.996744
346.000000,0.996800
347.000000,0.996856
348.000000,0.996911
349.000000,0.996965
350.000000,0.997019
351.000000,0.997071
352.000000,0.997124
353.000000,0.997175
